date,정석학술정보관,H-M MAIN,HO-M MAIN,HN-M MAIN,본관,5호남관,김현태 인하드림센터,"9호관,평생교육원",60주년,서호관,하이테크센터,로스쿨관,학생회관,"2호남관, 4호관",5호북관,"2호북관,2북신관",인하드림센터 3관,5호동관
686,1295.1015554466971,448.54885647190275,251.45029281124755,414.1239850228352,73.42265632506792,42.827679655029414,6.594205568788848,25.285618784935572,236.9028307915987,86.89508209159358,204.42068186833652,26.49585841251279,52.998499968018606,212.30675241805403,219.33304300588316,212.27389645740143,4.775026714205072,76.78275726356469
687,1142.563875877066,381.6277251490262,227.32263035307506,469.06873576749626,61.03327814253872,38.52602088048645,5.631218427361253,22.18444325033463,220.40029336161976,81.43410916020085,197.98615061320282,24.24639350204467,44.080651029271245,198.35064224198422,244.8276960056412,198.31926400802445,4.270241470895714,68.3982535806637
688,1270.6841423574667,470.82102397733433,253.4585831224813,406.88107564137215,72.50740996609974,44.49894466382517,6.612041378502919,24.427869362782513,235.75387832898508,86.7948107411095,202.2604252337472,27.2340065930175,56.69799898611666,209.66623943884207,228.45176580700308,209.63236583478056,5.406841147979117,75.77359321773385
689,1215.199499820796,451.6136925992064,223.34511889530492,402.2575151818123,68.33152013838179,41.65211279640501,6.349740176542734,23.357208655803127,222.2755268056658,88.19474647436115,200.0303120855932,27.18507917193164,52.572334664867284,214.39812810841718,290.90416079898915,214.36465459256846,5.323329338713747,72.9472189824836
690,1258.740706447676,518.5613246670811,266.6742976922762,414.73437111548554,85.86768519682477,46.43828927090377,8.227182107812048,27.057806627670267,248.10211942707576,102.13652997362033,230.01144451200636,31.392077686151133,59.34090071442427,233.85303006334183,276.7824297925004,233.8152201959735,7.088215014919957,83.44043133679307
691,1253.1275607785049,468.9013363845865,267.696878150569,416.6224266264012,81.50128919814723,47.978613963287344,8.328006540364532,27.97851650270914,258.6020266319543,104.68605580197556,238.47184721070317,32.520809709695804,57.582245297001265,243.59991029667395,319.86072651428407,243.5617875682874,7.341501037799324,85.53667814148017
692,1410.532901119235,519.92297530702,269.561481461254,429.7986649345433,81.767694424593,46.4678178042807,7.8409954591937865,29.290798302740058,252.36573331023718,107.04524247436676,218.5669535260691,31.976923364219925,60.12668788026586,231.96272889517297,275.35418458717055,231.92436284839036,6.270641727901563,85.49217826999423
693,1232.1990969732908,455.33861082273086,263.9138078734533,437.7574655986588,71.76970580936353,44.29657116076133,7.113272111838186,27.03959457508098,244.20272063127322,94.92368429908174,216.82112405163573,30.512282780918,52.6057894871457,228.66087874834898,267.94625931606157,228.62602223658973,5.864609288009331,83.37070381506346
694,1381.9337418399887,480.727784174934,261.4845260029492,416.7484625988807,79.85530310502273,45.79182609700307,7.608594254512273,27.067226339117067,237.9685365420251,92.3983773487359,215.4735677228118,30.293955400788825,56.90386435234924,223.18703853825815,252.38403370818347,223.15228539559558,5.866756337873252,81.62256236762697
695,1112.967384730407,338.96565014843543,230.45934222562335,381.62339175891043,60.54498814448324,39.48114923865849,5.921191725306702,22.675177822843466,217.03765503180836,79.71786204577619,197.33317297503285,25.234043389753925,47.162320932951275,199.842487123987,200.7750976352129,199.8101599486061,4.503450814948289,70.87610517979488
696,1231.7490829786962,397.6565958237082,233.20836594577233,368.66545575851967,63.11338800609059,36.84920091452613,5.168189926248061,21.284315959017718,215.1473893311072,83.66931866097639,185.39673079414996,23.712852195437016,46.057131436292615,187.32694194273057,223.69927005426183,187.29759878517618,3.3683070089537526,68.06227854047222
697,1033.6081137585984,362.86217812585954,209.95293945984642,352.3665759732482,51.699332590733036,34.50715551638295,4.596829878224428,18.80643980207094,196.7536598888417,68.40810329286333,175.92395655311142,21.02007747386197,38.522600393159806,173.7405556100399,212.53568815197283,173.70949592920041,3.335556625933698,60.64745332150422
698,1264.6500019100279,434.8791844042701,246.83758939870344,400.47860523259646,72.44042259514731,40.7641464097264,6.260995311344588,23.668872446551838,231.1247692882575,85.88909883829258,202.72410902514997,25.47723811431134,51.57547218514124,209.2280086231738,219.63169288611272,209.19453234867953,4.559701237208559,73.83423865395412
699,1115.6961536352933,369.9929596469625,223.15078105766494,453.6172883482101,60.21456001048214,36.66502210566162,5.340261067919828,20.758440536108026,215.0230369933597,80.49062823564205,196.3427206711439,23.311107594918347,42.89263619695467,195.47333270606748,245.16090255045907,195.4413844458354,4.073737226886579,65.76756717463024
